Stenella coeruleoalba
Steno bredanensis
Tursiops truncatus
Eschrichtius robustus
Berardius bairdii
Hyperoodon ampullatus
Mesoplodon europaeus
Ziphius cavirostris
Inia geoffrensis
Kogia breviceps
Lipotes vexillifer
Delphinapterus leucas
Monodon monoceros
Neophocaena phocaenoides
Phocoena phocoena
Phocoenoides dalli
Physeter macrocephalus
Saccopteryx bilineata
Taphozous georgianus
Taphozous hilli
Hipposideros fulvus
Macroderma gigas
Megaderma lyra
Miniopterus schreibersii
Molossus molossus
Tadarida brasiliensis
Tadarida teniotis
Mystacina tuberculata
Noctilio leporinus
Anoura geoffroyi
Artibeus jamaicensis
Carollia perspicillata
Desmodus rotundus
Diphylla ecaudata
Glossophaga soricina
Leptonycteris curasoae
Macrotus californicus
Macrotus waterhousii
Phyllostomus discolor
Phyllostomus hastatus
Platyrrhinus lineatus
Sturnira lilium
Cynopterus brachyotis
Cynopterus sphinx
Dobsonia moluccensis
Eidolon helvum
Epomophorus gambianus
Epomophorus wahlbergi
Haplonycteris fischeri
Pteropus alecto
Pteropus dasymallus
Pteropus giganteus
Pteropus hypomelanus
Pteropus livingstonii
Pteropus lylei
Pteropus niger
Pteropus poliocephalus
Pteropus pselaphon
Pteropus pumilus
Pteropus rodricensis
Pteropus scapulatus
Pteropus vampyrus
Rousettus aegyptiacus
Rousettus lanosus
Rousettus leschenaultii
Rhinolophus euryale
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Antrozous pallidus
Barbastella barbastellus
Chalinolobus gouldii
Chalinolobus morio
Corynorhinus townsendii
Eptesicus fuscus
Eptesicus nilssonii
Eptesicus serotinus
Falsistrellus tasmaniensis
Lasionycteris noctivagans
Lasiurus cinereus
Myotis adversus
Myotis bechsteinii
Myotis blythii
Myotis brandtii
Myotis dasycneme
Myotis daubentonii
Myotis emarginatus
Myotis evotis
Myotis grisescens
Myotis keenii
Myotis leibii
Myotis lucifugus
Myotis myotis
Myotis mystacinus
Myotis nattereri
Myotis nigricans
Myotis sodalis
Myotis thysanodes
Myotis velifer
Myotis vivesi
Myotis volans
Myotis yumanensis
Nyctalus leisleri
Nyctalus noctula
Nycticeius humeralis
Nyctophilus geoffroyi
Nyctophilus gouldi
Perimyotis subflavus
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Plecotus auritus
Plecotus austriacus
Scotorepens balstoni
Scotorepens orion
Vespadelus darlingtoni
Vespadelus pumilus
Vespadelus regulus
Vespadelus vulturnus
Vespertilio murinus
Chaetophractus vellerosus
Chaetophractus villosus
Dasypus novemcinctus
Dasypus septemcinctus
Euphractus sexcinctus
Priodontes maximus
Tolypeutes matacus
Zaedyus pichiy
Antechinomys laniger
Antechinus agilis
Antechinus bellus
Antechinus flavipes
Antechinus stuartii
Antechinus swainsonii
Dasycercus cristicauda
Dasyuroides byrnei
Dasyurus geoffroii
Dasyurus hallucatus
Dasyurus maculatus
Dasyurus viverrinus
Parantechinus apicalis
Phascogale calura
Phascogale tapoatafa
Planigale maculata
Planigale tenuirostris
Pseudantechinus macdonnellensis
Sarcophilus harrisii
Sminthopsis crassicaudata
Sminthopsis griseoventer
Sminthopsis macroura
Sminthopsis virginiae
Sminthopsis youngsoni
Myrmecobius fasciatus
Caluromys derbianus
Caluromys philander
Chironectes minimus
Didelphis aurita
Didelphis marsupialis
Didelphis virginiana
Gracilinanus agilis
Lutreolina crassicaudata
Marmosa murina
Marmosa robinsoni
Marmosops noctivagus
Metachirus nudicaudatus
Monodelphis adusta
Monodelphis brevicaudata
Monodelphis domestica
Philander opossum
Acrobates pygmaeus
Burramys parvus
Cercartetus nanus
Dendrolagus dorianus
Dendrolagus goodfellowi
Dendrolagus inustus
Dendrolagus matschiei
Dendrolagus ursinus
Dorcopsis luctuosa
Dorcopsis muelleri
Dorcopsulus macleayi
Lagorchestes conspicillatus
Lagorchestes hirsutus
Macropus agilis
Macropus antilopinus
Macropus bernardus
Macropus eugenii
Macropus fuliginosus
Macropus giganteus
Macropus parma
Macropus robustus
Macropus rufogriseus
Macropus rufus
Onychogalea fraenata
Onychogalea unguifera
Petrogale brachyotis
Petrogale concinna
Petrogale penicillata
Petrogale xanthopus
Setonix brachyurus
Thylogale billardierii
Thylogale brunii
Thylogale stigmatica
Thylogale thetis
Wallabia bicolor
Dactylopsila trivirgata
Gymnobelideus leadbeateri
Petaurus australis
Petaurus breviceps
Petaurus norfolcensis
Phalanger gymnotis
Spilocuscus maculatus
Trichosurus vulpecula
Phascolarctos cinereus
Aepyprymnus rufescens
Bettongia penicillata
Potorous longipes
Potorous tridactylus
