"class","branch_lengths","model","lambda","n_species","intercept","slope","slope_SE","t_value","p_value","AIC"
"Amphibia","source_tree","OLS",NA,18,1.26922752903198,0.0361512831894578,0.0933982175250847,0.387066093416059,0.703807175539638,10.6942168946486
"Amphibia","source_tree","PGLS_lambda_ML",0.474417408926754,18,1.23964133925831,0.0759942877373221,0.0886760443010546,0.856987795704124,0.404105324503942,5.88553084739709
"Aves","Grafen_topology_derived","OLS",NA,1099,0.73475966903476,0.211049929396171,0.00720233570100864,29.3029842203294,6.89137531927186e-140,-470.393051196742
"Aves","Grafen_topology_derived","PGLS_lambda_ML",0.594368227491103,1099,0.619573272980588,0.224702747621851,0.012561603178658,17.888062887038,0,-668.948201664603
"Reptilia","source_tree","OLS",NA,341,0.869133309180245,0.138880648314992,0.0115827079681108,11.9903435964504,7.4426912335189e-28,-12.1523069660848
"Reptilia","source_tree","PGLS_lambda_ML",0.788205963787633,341,1.1383212185694,0.0918222352244289,0.0160767064212675,5.71150786848727,2.45050317815299e-08,-142.606237222171
"Mammalia","source_tree","OLS",NA,936,0.663756351501714,0.161466245271048,0.0052524046904991,30.7413946155214,6.16627147339544e-144,-82.5652416696414
"Mammalia","source_tree","PGLS_lambda_ML",0.973786188903451,936,0.819841989232805,0.126110993418713,0.00912749900851404,13.8165989720818,0,-1226.45613156972
